ts_iso_utc,kind,domain,rc,actual_mhz,request_mhz,tdp_mhz,efficient_mhz,throttle_reasons,energy_uj,timestamp_us,power_w
2026-09-25T07:56:41.733178+00:00,power,0,0,,,,,,110693394996,314255888696,7.103152214531748
2026-09-25T07:56:42.736176+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:42.736176+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:42.736176+00:00,power,0,0,,,,,,110700501197,314256891609,7.085560761501745
2026-09-25T07:56:43.741009+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:43.741009+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:43.741009+00:00,power,0,0,,,,,,110707590148,314257896462,7.05471447067382
2026-09-25T07:56:44.727622+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:44.727622+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:44.727622+00:00,power,0,0,,,,,,110714600523,314258882962,7.106310187531678
2026-09-25T07:56:45.730362+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:45.730362+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:45.730362+00:00,power,0,0,,,,,,110721663046,314259885684,7.04335099858186
2026-09-25T07:56:46.743300+00:00,freq,0,0,1550.0,4250.0,1550.0,900.0,2,,,
2026-09-25T07:56:46.743300+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:46.743300+00:00,power,0,0,,,,,,110728677962,314260898632,6.925247890316186
2026-09-25T07:56:47.739978+00:00,freq,0,0,1550.0,4250.0,1550.0,900.0,2,,,
2026-09-25T07:56:47.739978+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:47.739978+00:00,power,0,0,,,,,,110736445845,314261895225,7.79443865248903
2026-09-25T07:56:48.744085+00:00,freq,0,0,1550.0,4250.0,1550.0,900.0,2,,,
2026-09-25T07:56:48.744085+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:48.744085+00:00,power,0,0,,,,,,110748953436,314262899324,12.45653167665738
2026-09-25T07:56:49.728688+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
